Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,SimplOverallQual,SimplOverallCond,SimplPoolQC,SimplGarageCond,SimplGarageQual,SimplFireplaceQu,SimplFunctional,SimplKitchenQual,SimplHeatingQC,SimplBsmtFinType1,SimplBsmtFinType2,SimplBsmtCond,SimplBsmtQual,SimplExterCond,SimplExterQual,OverallGrade,GarageGrade,ExterGrade,KitchenScore,FireplaceScore,GarageScore,PoolScore,SimplOverallGrade,SimplExterGrade,SimplPoolScore,SimplGarageScore,SimplFireplaceScore,SimplKitchenScore,TotalBath,AllSF,AllFlrsSF,AllPorchSF,HasMasVnr,BoughtOffPlan
438,SC45,RM,50.0,6000,2,,4,Lvl,4,Inside,3,BrkSide,Norm,Norm,1Fam,1.5Unf,6,7,1926,2004,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,4,3,PConc,3.0,3.0,0.0,1.0,0,1.0,0,884,884,GasA,4,Y,SBrkr,904,0,0,904,0,0,1,0,2,1,3,4,8,0,,Detchd,1926.0,Unf,1,180,3.0,3.0,2,0,0,105,0,0,0,,,,0,Jan,2009,WD,Normal,119000,2,3,,1.0,1.0,,4,1,2,1.0,1.0,1.0,1.0,1,2,42,9.0,12,3,,540.0,,6,2,,180.0,,1,1.0,1788,904,105,0.0,0
439,SC30,RL,40.0,4280,2,,4,Lvl,4,Inside,3,Crawfor,Norm,Norm,1Fam,1Story,5,6,1913,2002,Gable,CompShg,WdShing,Stucco,None,0.0,3,3,PConc,3.0,3.0,0.0,2.0,365,1.0,0,75,440,GasA,3,N,SBrkr,694,0,0,694,0,0,1,0,2,1,4,4,8,1,4.0,Detchd,1990.0,Unf,1,352,4.0,3.0,1,0,0,34,0,0,0,,MnPrv,,0,Mar,2007,WD,Normal,90350,2,2,,1.0,2.0,2.0,4,2,1,1.0,1.0,1.0,1.0,1,1,30,12.0,9,4,4.0,1408.0,,4,1,,704.0,2.0,2,1.0,1134,694,34,0.0,0
440,SC50,RL,67.0,12354,2,1.0,4,Lvl,4,Corner,3,Edwards,Norm,Norm,1Fam,1.5Fin,6,8,1920,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3.0,2.0,1.0,1.0,0,1.0,0,684,684,GasA,4,Y,SBrkr,684,512,0,1196,0,0,1,0,3,1,4,7,8,0,,Detchd,2005.0,Unf,2,528,3.0,3.0,2,0,46,0,0,0,0,,GdPrv,Shed,800,Aug,2009,ConLI,Normal,110000,2,3,,1.0,1.0,,4,2,2,1.0,1.0,1.0,1.0,1,1,48,9.0,9,4,,1584.0,,6,1,,528.0,,2,1.0,1880,1196,46,0.0,0
441,SC20,RL,105.0,15431,2,,4,Lvl,4,Inside,3,NridgHt,Norm,Norm,1Fam,1Story,10,5,2008,2008,Hip,CompShg,VinylSd,VinylSd,Stone,200.0,5,3,PConc,5.0,3.0,3.0,6.0,1767,5.0,539,788,3094,GasA,5,Y,SBrkr,2402,0,0,2402,1,0,2,0,2,1,5,10,8,2,4.0,Attchd,2008.0,Fin,3,672,3.0,3.0,2,0,72,0,0,170,0,,,,0,Apr,2009,WD,Normal,555000,3,2,,1.0,1.0,2.0,4,2,2,2.0,2.0,1.0,2.0,1,2,50,9.0,15,5,8.0,2016.0,,6,2,,672.0,4.0,2,3.0,5496,2402,242,1.0,0
442,SC90,RL,92.0,12108,2,,4,Lvl,4,Inside,3,Edwards,Norm,Norm,Duplex,1Story,4,4,1955,1955,Gable,CompShg,VinylSd,VinylSd,BrkFace,270.0,3,3,CBlock,3.0,3.0,0.0,5.0,133,1.0,0,1307,1440,GasA,3,N,FuseF,1440,0,0,1440,0,0,2,0,4,2,2,8,8,0,,,,,0,0,,,2,0,0,0,0,0,0,,,,0,Sep,2008,WD,Normal,118000,2,2,,,,,4,1,1,2.0,1.0,1.0,1.0,1,1,16,,9,4,,,,4,1,,,,2,2.0,2880,1440,0,1.0,0
443,SC50,RM,52.0,6240,2,,4,Lvl,4,Inside,3,BrkSide,Norm,Norm,1Fam,1.5Fin,5,7,1930,1992,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,PConc,3.0,3.0,0.0,1.0,0,1.0,0,1078,1078,GasA,3,Y,SBrkr,1128,445,0,1573,0,0,2,0,3,1,3,8,8,1,4.0,Detchd,1930.0,Unf,2,360,3.0,3.0,1,0,0,0,0,0,0,,,,0,Jun,2008,WD,Normal,162900,2,3,,1.0,1.0,2.0,4,1,1,1.0,1.0,1.0,1.0,1,1,35,9.0,9,3,4.0,1080.0,,6,1,,360.0,2.0,1,2.0,2651,1573,0,0.0,0
444,SC120,RL,53.0,3922,2,,4,Lvl,4,Inside,3,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2006,2007,Gable,CompShg,WdShing,Wd Shng,BrkFace,72.0,4,3,PConc,5.0,3.0,2.0,1.0,0,1.0,0,1258,1258,GasA,5,Y,SBrkr,1258,0,0,1258,0,0,2,0,2,1,4,6,8,1,4.0,Attchd,2007.0,Fin,3,648,3.0,3.0,2,144,16,0,0,0,0,,,,0,Jun,2007,New,Partial,172500,3,2,,1.0,1.0,2.0,4,2,2,1.0,1.0,1.0,2.0,1,2,35,9.0,12,4,4.0,1944.0,,6,2,,648.0,2.0,2,2.0,2516,1258,16,1.0,1
445,SC60,RL,70.0,8750,2,,4,Lvl,4,Inside,3,CollgCr,Norm,Norm,1Fam,2Story,7,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,4,PConc,4.0,3.0,0.0,6.0,642,1.0,0,273,915,GasA,5,Y,SBrkr,933,975,0,1908,1,0,2,1,4,1,4,8,8,1,3.0,Attchd,1994.0,Unf,2,493,3.0,3.0,2,144,133,0,0,0,0,,,,0,Jul,2008,WD,Normal,210000,3,2,,1.0,1.0,1.0,4,2,2,2.0,1.0,1.0,2.0,2,2,35,9.0,16,4,3.0,1479.0,,6,4,,493.0,1.0,2,3.5,2823,1908,133,0.0,0
446,SC20,RL,73.0,9855,2,,4,Lvl,4,Corner,3,Edwards,Norm,Norm,1Fam,1Story,6,5,1956,1956,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,0.0,1.0,0,1.0,0,1436,1436,GasA,2,Y,SBrkr,1689,0,0,1689,0,0,1,0,3,1,3,7,8,1,4.0,Attchd,1956.0,Unf,2,480,3.0,3.0,2,0,0,0,0,0,0,,MnPrv,,0,Nov,2009,COD,Normal,127500,2,2,,1.0,1.0,2.0,4,1,1,1.0,1.0,1.0,1.0,1,1,30,9.0,9,3,4.0,1440.0,,4,1,,480.0,2.0,1,1.0,3125,1689,0,0.0,0
447,SC20,RL,137.0,16492,2,,3,Lvl,4,Corner,3,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,4,3,CBlock,3.0,3.0,0.0,5.0,247,3.0,713,557,1517,GasA,5,Y,SBrkr,1888,0,0,1888,0,0,2,1,2,1,4,6,5,1,4.0,Attchd,1966.0,Fin,2,578,3.0,3.0,2,0,0,0,0,0,0,,,,0,Jun,2010,WD,Normal,190000,2,2,,1.0,1.0,2.0,3,2,2,2.0,1.0,1.0,1.0,1,2,36,9.0,12,4,4.0,1734.0,,4,2,,578.0,2.0,2,2.5,3405,1888,0,0.0,0
448,SC60,RL,,11214,2,,3,Lvl,4,Corner,3,Gilbert,Norm,Norm,1Fam,2Story,7,5,1998,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,3.0,0.0,1.0,0,1.0,0,930,930,GasA,4,Y,SBrkr,956,930,0,1886,0,0,2,1,4,1,4,10,8,1,3.0,Attchd,1998.0,Fin,2,431,3.0,3.0,2,89,0,0,0,0,0,,,,0,Jul,2006,WD,Normal,199900,3,2,,1.0,1.0,1.0,4,2,2,1.0,1.0,1.0,2.0,1,2,35,9.0,12,4,3.0,1293.0,,6,2,,431.0,1.0,2,2.5,2816,1886,0,0.0,0
449,SC50,RM,50.0,8600,2,,4,Bnk,4,Inside,3,IDOTRR,Norm,Norm,1Fam,1.5Fin,6,6,1937,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3.0,3.0,0.0,1.0,0,1.0,0,780,780,GasA,3,Y,SBrkr,780,596,0,1376,0,0,2,0,3,1,3,7,8,1,4.0,Detchd,1937.0,Unf,1,198,3.0,3.0,0,0,0,0,0,0,0,,,,0,Jun,2006,WD,Normal,119500,2,2,,1.0,1.0,2.0,4,1,1,1.0,1.0,1.0,1.0,1,1,36,9.0,9,3,4.0,594.0,,4,1,,198.0,2.0,1,2.0,2156,1376,0,0.0,0
450,SC50,RM,50.0,6000,2,,4,Lvl,4,Inside,3,OldTown,Norm,Norm,1Fam,1.5Fin,3,7,1948,2002,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3.0,3.0,0.0,5.0,331,1.0,0,318,649,GasA,5,Y,SBrkr,679,504,0,1183,0,0,1,1,2,1,3,6,8,0,,Detchd,1981.0,Unf,1,308,3.0,3.0,2,0,176,0,0,0,0,,,,0,Jun,2007,WD,Normal,120000,1,3,,1.0,1.0,,4,1,2,2.0,1.0,1.0,1.0,2,1,21,9.0,12,3,,924.0,,3,2,,308.0,,1,1.5,1832,1183,176,0.0,0
451,SC30,RM,70.0,5684,2,,4,Lvl,4,Inside,3,OldTown,Norm,Norm,1Fam,1Story,6,8,1930,2005,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3.0,3.0,0.0,1.0,0,1.0,0,813,813,GasA,5,Y,FuseA,813,0,0,813,0,0,1,0,2,1,4,5,8,0,,Detchd,1932.0,Unf,1,270,2.0,2.0,0,0,113,0,0,0,0,,,,0,Jun,2006,WD,Normal,110000,2,3,,1.0,1.0,,4,2,2,1.0,1.0,1.0,1.0,1,1,48,4.0,9,4,,540.0,,6,1,,270.0,,2,1.0,1626,813,113,0.0,0
452,SC20,RL,62.0,70761,2,,3,Low,4,Inside,2,ClearCr,Norm,Norm,1Fam,1Story,7,5,1975,1975,Gable,WdShngl,Plywood,Plywood,None,0.0,3,3,CBlock,4.0,3.0,3.0,5.0,655,1.0,0,878,1533,GasA,3,Y,SBrkr,1533,0,0,1533,1,0,2,0,2,1,4,5,8,2,3.0,Attchd,1975.0,Unf,2,576,3.0,3.0,2,200,54,0,0,0,0,,,,0,Dec,2006,WD,Normal,280000,3,2,,1.0,1.0,1.0,4,2,1,2.0,1.0,1.0,2.0,1,1,35,9.0,9,4,6.0,1728.0,,6,1,,576.0,2.0,2,3.0,3066,1533,54,0.0,0
453,SC60,RL,,9303,2,,3,Lvl,4,Corner,3,Timber,Norm,Norm,1Fam,2Story,6,5,1996,1997,Hip,CompShg,VinylSd,VinylSd,BrkFace,42.0,4,3,PConc,5.0,3.0,0.0,5.0,742,1.0,0,130,872,GasA,5,Y,SBrkr,888,868,0,1756,1,0,2,1,3,1,3,7,8,0,,Attchd,1996.0,Fin,2,422,3.0,3.0,2,144,122,0,0,0,0,,,,0,Jul,2007,WD,Normal,204000,2,2,,1.0,1.0,,4,1,2,2.0,1.0,1.0,2.0,1,2,30,9.0,12,3,,1266.0,,4,2,,422.0,,1,3.5,2628,1756,122,1.0,0
454,SC60,FV,75.0,9000,2,,4,Lvl,4,Inside,3,Somerst,Norm,Norm,1Fam,2Story,8,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,3.0,0.0,1.0,0,1.0,0,768,768,GasA,5,Y,SBrkr,786,804,0,1590,0,0,2,1,3,1,4,6,8,0,,Attchd,2008.0,RFn,2,676,3.0,3.0,2,0,30,0,0,0,0,,,,0,Jun,2009,WD,Normal,210000,3,2,,1.0,1.0,,4,2,2,1.0,1.0,1.0,2.0,1,2,40,9.0,12,4,,2028.0,,6,2,,676.0,,2,2.5,2358,1590,30,0.0,0
455,SC90,RL,63.0,9297,2,,4,Lvl,4,Inside,3,Mitchel,Norm,Norm,Duplex,1Story,5,5,1976,1976,Gable,CompShg,Plywood,Plywood,None,0.0,3,3,CBlock,3.0,3.0,0.0,5.0,1606,1.0,0,122,1728,GasA,3,Y,SBrkr,1728,0,0,1728,2,0,2,0,4,2,3,8,8,0,,Detchd,1976.0,Unf,2,560,3.0,3.0,2,0,0,0,0,0,0,,,,0,Jul,2006,WD,Family,188000,2,2,,1.0,1.0,,4,1,1,2.0,1.0,1.0,1.0,1,1,25,9.0,9,6,,1680.0,,4,1,,560.0,,2,4.0,3456,1728,0,0.0,0
456,SC20,RL,80.0,9600,2,,4,Lvl,4,Inside,3,NWAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,3,3,CBlock,3.0,3.0,0.0,5.0,916,1.0,0,326,1242,GasA,2,Y,SBrkr,1242,0,0,1242,0,0,1,1,3,1,3,6,8,1,3.0,Attchd,1973.0,Unf,2,528,3.0,3.0,2,0,0,0,0,0,0,,,,0,Sep,2007,WD,Normal,175500,3,2,,1.0,1.0,1.0,4,1,1,2.0,1.0,1.0,1.0,1,1,42,9.0,9,3,3.0,1584.0,,6,1,,528.0,1.0,1,1.5,2484,1242,0,1.0,0
457,SC70,RM,34.0,4571,2,1.0,4,Lvl,4,Inside,3,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,3,BrkTil,3.0,3.0,0.0,1.0,0,1.0,0,624,624,GasA,2,N,SBrkr,624,720,0,1344,0,0,1,0,4,1,3,7,8,0,,Detchd,1916.0,Unf,3,513,2.0,2.0,2,0,0,96,0,0,0,,,,0,May,2008,COD,Abnorml,98000,2,2,,1.0,1.0,,4,1,1,1.0,1.0,1.0,1.0,1,1,25,4.0,9,3,,1026.0,,4,1,,513.0,,1,1.0,1968,1344,96,0.0,0
458,SC20,RL,,53227,2,,3,Low,4,CulDSac,2,ClearCr,Norm,Norm,1Fam,1Story,4,6,1954,1994,Flat,Tar&Grv,Plywood,Plywood,None,0.0,3,3,CBlock,4.0,3.0,3.0,4.0,1116,1.0,0,248,1364,GasA,5,Y,SBrkr,1663,0,0,1663,1,0,1,0,2,1,4,6,7,2,4.0,Attchd,1954.0,Fin,2,529,3.0,3.0,2,224,137,0,0,0,0,,,,0,Mar,2008,WD,Normal,256000,2,2,,1.0,1.0,2.0,3,2,2,2.0,1.0,1.0,2.0,1,1,24,9.0,9,4,8.0,1587.0,,4,1,,529.0,4.0,2,2.0,3027,1663,137,0.0,0
459,SC70,RM,,5100,2,1.0,4,Lvl,4,Inside,3,OldTown,Norm,Norm,1Fam,2Story,8,7,1925,1996,Hip,CompShg,Stucco,Wd Shng,None,0.0,3,4,PConc,3.0,3.0,0.0,1.0,0,1.0,0,588,588,GasA,2,Y,SBrkr,833,833,0,1666,0,0,1,0,3,1,4,7,8,1,4.0,Detchd,1925.0,Unf,1,228,3.0,3.0,2,192,63,0,0,0,0,,MnPrv,,0,Jun,2008,WD,Normal,161000,3,3,,1.0,1.0,2.0,4,2,1,1.0,1.0,1.0,1.0,2,1,56,9.0,12,4,4.0,684.0,,9,2,,228.0,2.0,2,1.0,2254,1666,63,0.0,0
460,SC50,RL,,7015,2,,3,Bnk,4,Corner,3,BrkSide,Norm,Norm,1Fam,1.5Fin,5,4,1950,1950,Gable,CompShg,MetalSd,MetalSd,BrkCmn,161.0,3,3,CBlock,3.0,3.0,0.0,2.0,185,1.0,0,524,709,GasA,3,Y,SBrkr,979,224,0,1203,1,0,1,0,3,1,4,5,8,1,3.0,Detchd,1950.0,Unf,1,352,3.0,3.0,2,0,0,248,0,0,0,,,,0,Jul,2009,WD,Normal,110000,2,2,,1.0,1.0,1.0,4,2,1,1.0,1.0,1.0,1.0,1,1,20,9.0,9,4,3.0,1056.0,,4,1,,352.0,1.0,2,2.0,1912,1203,248,1.0,0
461,SC60,FV,75.0,8004,2,,3,Lvl,4,Inside,3,Somerst,RRAn,Norm,1Fam,2Story,8,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,Stone,110.0,4,3,PConc,4.0,3.0,0.0,6.0,544,1.0,0,288,832,GasA,5,Y,SBrkr,832,1103,0,1935,1,0,2,1,3,1,3,8,8,0,,BuiltIn,2009.0,Fin,2,552,3.0,3.0,2,0,150,0,0,0,0,,,,0,Dec,2009,New,Partial,263435,3,2,,1.0,1.0,,4,1,2,2.0,1.0,1.0,2.0,1,2,40,9.0,12,3,,1656.0,,6,2,,552.0,,1,3.5,2767,1935,150,1.0,1
462,SC70,RL,60.0,7200,2,,4,Lvl,4,Inside,3,SWISU,Feedr,Norm,1Fam,2Story,7,9,1936,2007,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,4,4,PConc,4.0,4.0,0.0,5.0,350,4.0,210,0,560,GasA,5,Y,SBrkr,575,560,0,1135,1,0,1,0,3,1,4,6,8,0,,Detchd,1971.0,RFn,2,576,3.0,3.0,2,256,0,0,0,0,0,,MnPrv,,0,Apr,2009,WD,Normal,155000,3,3,,1.0,1.0,,4,2,2,2.0,2.0,2.0,2.0,2,2,63,9.0,16,4,,1728.0,,9,4,,576.0,,2,2.0,1695,1135,0,0.0,0
463,SC20,RL,60.0,8281,2,,3,Lvl,4,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3.0,3.0,0.0,3.0,553,4.0,311,0,864,GasA,4,Y,SBrkr,864,0,0,864,0,0,1,0,3,1,3,5,8,1,1.0,Detchd,1965.0,Unf,1,360,3.0,3.0,2,0,0,236,0,0,0,,GdWo,,0,Dec,2009,WD,Normal,62383,2,2,,1.0,1.0,1.0,4,1,2,1.0,2.0,1.0,1.0,1,1,25,9.0,9,3,1.0,1080.0,,4,1,,360.0,1.0,1,1.0,1728,864,236,0.0,0
464,SC70,RL,74.0,11988,2,,3,HLS,4,Inside,2,Crawfor,Norm,Norm,1Fam,2Story,6,7,1934,1995,Hip,CompShg,Stucco,Stucco,None,0.0,3,3,CBlock,3.0,3.0,0.0,2.0,326,1.0,0,389,715,GasA,2,Y,FuseA,849,811,0,1660,0,0,1,1,3,1,3,6,8,1,4.0,Detchd,1939.0,Unf,1,240,3.0,3.0,2,0,0,0,0,0,0,,,,0,Aug,2008,WD,Normal,188700,2,3,,1.0,1.0,2.0,4,1,1,1.0,1.0,1.0,1.0,1,1,42,9.0,9,3,4.0,720.0,,6,1,,240.0,2.0,1,1.5,2375,1660,0,0.0,0
465,SC20,RL,60.0,8430,2,,4,HLS,4,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,5,5,1978,1978,Gable,CompShg,HdBoard,HdBoard,BrkFace,136.0,3,3,CBlock,4.0,3.0,0.0,3.0,616,1.0,0,424,1040,GasA,3,Y,SBrkr,1040,0,0,1040,0,0,2,0,3,1,3,5,8,0,,,,,0,0,,,2,0,0,0,0,0,0,,,,0,Aug,2009,WD,Normal,124000,2,2,,,,,4,1,1,1.0,1.0,1.0,2.0,1,1,25,,9,3,,,,4,1,,,,1,2.0,2080,1040,0,1.0,0
466,SC120,RM,,3072,2,,4,Lvl,4,Inside,3,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2004,2004,Hip,CompShg,VinylSd,VinylSd,BrkFace,18.0,4,3,PConc,4.0,3.0,0.0,1.0,0,1.0,0,1375,1375,GasA,5,Y,SBrkr,1414,0,0,1414,0,0,2,0,2,1,4,6,8,1,3.0,Attchd,2004.0,Fin,2,398,3.0,3.0,2,144,20,0,0,0,0,,,,0,May,2006,WD,Normal,178740,3,2,,1.0,1.0,1.0,4,2,2,1.0,1.0,1.0,2.0,1,2,35,9.0,12,4,3.0,1194.0,,6,2,,398.0,1.0,2,2.0,2789,1414,20,1.0,0
467,SC20,RL,85.0,10628,2,,4,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,7,5,1970,1970,Flat,Tar&Grv,Plywood,Plywood,None,0.0,3,4,CBlock,3.0,4.0,3.0,6.0,778,1.0,0,499,1277,GasA,3,Y,SBrkr,1277,0,0,1277,1,0,1,0,2,1,3,5,8,1,1.0,Attchd,1970.0,Unf,2,526,3.0,3.0,2,0,0,0,0,176,0,,GdWo,,0,Apr,2007,WD,Normal,167000,3,2,,1.0,1.0,1.0,4,1,1,2.0,1.0,2.0,1.0,2,1,35,9.0,12,3,1.0,1578.0,,6,2,,526.0,1.0,1,2.0,2554,1277,176,0.0,0
468,SC70,RL,79.0,9480,2,,4,Lvl,4,Inside,3,NAmes,Artery,Norm,1Fam,2Story,5,7,1942,1995,Gable,CompShg,MetalSd,MetalSd,Stone,224.0,3,3,CBlock,3.0,3.0,0.0,2.0,386,1.0,0,342,728,GasA,5,Y,SBrkr,888,756,0,1644,0,0,1,1,3,1,4,7,8,2,4.0,Attchd,1942.0,Unf,1,312,3.0,3.0,2,168,0,0,0,0,0,,,,0,Jun,2007,WD,Normal,146500,2,3,,1.0,1.0,2.0,4,2,2,1.0,1.0,1.0,1.0,1,1,35,9.0,9,4,8.0,936.0,,6,1,,312.0,4.0,2,1.5,2372,1644,0,1.0,0
469,SC20,RL,98.0,11428,2,,3,Lvl,4,Inside,3,NridgHt,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,248.0,4,3,PConc,4.0,3.0,0.0,1.0,0,1.0,0,1626,1626,GasA,5,Y,SBrkr,1634,0,0,1634,0,0,2,0,3,1,4,7,8,1,4.0,Attchd,2006.0,RFn,3,866,3.0,3.0,2,0,44,0,0,0,0,,,,0,May,2007,WD,Normal,250000,3,2,,1.0,1.0,2.0,4,2,2,1.0,1.0,1.0,2.0,1,2,40,9.0,12,4,4.0,2598.0,,6,2,,866.0,2.0,2,2.0,3260,1634,44,1.0,0
470,SC60,RL,76.0,9291,2,,3,Lvl,4,Corner,3,SawyerW,RRNe,Norm,1Fam,2Story,6,5,1993,1993,Gable,CompShg,HdBoard,HdBoard,BrkFace,120.0,4,3,PConc,4.0,3.0,0.0,6.0,426,1.0,0,406,832,GasA,5,Y,SBrkr,832,878,0,1710,0,0,2,1,3,1,4,7,8,0,,Attchd,1993.0,RFn,2,506,3.0,3.0,2,144,70,0,0,0,0,,,,0,Jun,2008,WD,Normal,187000,2,2,,1.0,1.0,,4,2,2,2.0,1.0,1.0,2.0,1,2,30,9.0,12,4,,1518.0,,4,2,,506.0,,2,2.5,2542,1710,70,1.0,0
471,SC120,RL,,6820,2,,3,Lvl,4,Corner,3,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1985,1985,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,PConc,4.0,3.0,2.0,6.0,368,4.0,1120,0,1488,GasA,3,Y,SBrkr,1502,0,0,1502,1,0,1,1,1,1,4,4,8,0,,Attchd,1985.0,RFn,2,528,3.0,3.0,2,0,54,0,0,140,0,,,,0,Jun,2010,WD,Normal,212000,3,2,,1.0,1.0,,4,2,1,2.0,2.0,1.0,2.0,1,2,40,9.0,12,4,,1584.0,,6,2,,528.0,,2,2.5,2990,1502,194,0.0,0
472,SC60,RL,92.0,11952,2,,4,Lvl,4,Inside,3,NWAmes,PosA,Norm,1Fam,2Story,7,6,1977,1977,Mansard,WdShake,WdShing,Plywood,None,0.0,3,3,CBlock,4.0,3.0,0.0,1.0,0,1.0,0,808,808,GasA,3,Y,SBrkr,1161,808,0,1969,0,0,2,1,3,1,3,8,8,1,4.0,Attchd,1977.0,RFn,2,534,3.0,3.0,2,0,0,0,0,276,0,,,,0,Nov,2007,WD,Normal,190000,3,2,,1.0,1.0,2.0,4,1,1,1.0,1.0,1.0,2.0,1,1,42,9.0,9,3,4.0,1602.0,,6,1,,534.0,2.0,1,2.5,2777,1969,276,0.0,0
473,SC180,RM,35.0,3675,2,,4,Lvl,4,Inside,3,Edwards,Norm,Norm,TwnhsE,SLvl,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,80.0,3,3,PConc,4.0,3.0,3.0,6.0,459,1.0,0,88,547,GasA,5,Y,SBrkr,1072,0,0,1072,1,0,1,0,2,1,3,5,8,0,,Basment,2005.0,RFn,2,525,3.0,3.0,2,0,28,0,0,0,0,,,,0,Jun,2008,WD,Normal,148000,2,2,,1.0,1.0,,4,1,2,2.0,1.0,1.0,2.0,1,1,30,9.0,9,3,,1575.0,,4,1,,525.0,,1,2.0,1619,1072,28,1.0,0
474,SC20,RL,110.0,14977,2,,3,Lvl,4,Inside,3,NridgHt,Norm,Norm,1Fam,1Story,8,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,304.0,4,3,PConc,5.0,3.0,3.0,6.0,1350,1.0,0,626,1976,GasA,5,Y,SBrkr,1976,0,0,1976,1,0,2,0,2,1,4,7,8,1,5.0,Attchd,2006.0,RFn,3,908,3.0,3.0,2,250,63,0,0,0,0,,,,0,Jul,2007,New,Partial,440000,3,2,,1.0,1.0,2.0,4,2,2,2.0,1.0,1.0,2.0,1,2,40,9.0,12,4,5.0,2724.0,,6,2,,908.0,2.0,2,3.0,3952,1976,63,1.0,1
475,SC120,RL,41.0,5330,2,,4,Lvl,4,Inside,3,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,3,PConc,4.0,3.0,2.0,6.0,1196,1.0,0,298,1494,GasA,5,Y,SBrkr,1652,0,0,1652,1,0,2,0,2,1,5,6,8,0,,Attchd,2000.0,RFn,2,499,3.0,3.0,2,96,48,0,0,0,0,,,,0,Aug,2007,WD,Normal,251000,3,2,,1.0,1.0,,4,2,2,2.0,1.0,1.0,2.0,1,2,40,9.0,12,5,,1497.0,,6,2,,499.0,,2,3.0,3146,1652,48,0.0,0
476,SC20,RL,80.0,8480,2,,4,Lvl,4,Corner,3,Sawyer,Norm,Norm,1Fam,1Story,5,6,1963,1963,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3.0,3.0,0.0,6.0,630,1.0,0,340,970,GasA,3,Y,SBrkr,970,0,0,970,1,0,1,0,2,1,3,5,8,0,,Detchd,1996.0,Unf,2,624,3.0,3.0,2,0,24,0,0,192,0,,,,0,Jul,2007,WD,Normal,132500,2,2,,1.0,1.0,,4,1,1,2.0,1.0,1.0,1.0,1,1,30,9.0,9,3,,1872.0,,4,1,,624.0,,1,2.0,1940,970,216,0.0,0
